,,,,
"C240, C241","10u","C1206C106J3RACAUTO",0.8,1206
"C242","0.1u","CC1206JRX7R9BB104",0.23,1206
"C243, C244","22u","GRM188R60J226MEA0D",0.15,603
"L26","1u","LQM21PN1R0MGHL",0.31,805
"R221","20k","ERJ-2RKF2002X ",0.1,402
"R222","10k","RC0402FR-0710KL ",0.1,402
